Consumer_ID,Preferred_Cuisine
U1060,Fast Food
U1060,Coffee Shop
U1060,Soup
U1060,Hot Dogs
U1060,Italian
U1061,Mexican
U1062,Mexican
U1063,Mexican
U1064,Mexican
U1065,Mexican
U1066,Mexican
U1067,Mexican
U1068,Mexican
U1069,Mexican
U1070,Mexican
U1071,Mexican
U1072,Mexican
U1073,American
U1074,Sushi
U1075,Mexican
U1076,Mexican
U1077,Mexican
U1078,Mexican
U1079,Mexican
U1080,Mexican
U1081,Mexican
U1082,Mexican
U1083,Mexican
U1084,Mexican
U1085,Mexican
U1086,Italian
U1087,Chinese
U1088,Mexican
U1089,Mexican
U1090,Tex Mex
U1091,American
U1091,Mexican
U1092,Game
U1093,Japanese
U1094,Mexican
U1095,Italian
U1096,Mexican
U1097,Mexican
U1098,Mexican
U1099,Mexican
U1100,Mexican
U1101,Chinese
U1101,Italian
U1101,Doughnuts
U1101,Afghan
U1101,Mexican
U1101,Burgers
U1101,Latin American
U1101,Contemporary
U1101,Coffee Shop
U1101,Family
U1101,Cafeteria
U1101,Bar
U1101,Australian
U1101,Hot Dogs
U1101,Diner
U1102,Pizzeria
U1103,Mexican
U1104,Italian
U1105,Cafeteria
U1106,Barbecue
U1107,Mexican
U1108,Coffee Shop
U1108,Sushi
U1108,Latin American
U1108,Deli
U1108,Mexican
U1108,Hot Dogs
U1108,American
U1108,Fast Food
U1108,Burgers
U1108,Asian
U1108,Pizzeria
U1108,Chinese
U1108,Ice Cream
U1108,Cafeteria
U1108,Japanese
U1108,Game
U1108,Family
U1108,Seafood
U1109,Mexican
U1110,Mexican
U1111,Mexican
U1112,Mexican
U1113,Burgers
U1114,Mexican
U1115,Regional
U1116,Mexican
U1117,Turkish
U1118,Pizzeria
U1119,Mexican
U1120,Mexican
U1121,Mexican
U1122,Afghan
U1123,Mexican
U1124,Mexican
U1125,Mexican
U1126,Mexican
U1127,Mexican
U1128,Cafeteria
U1128,Hot Dogs
U1128,Pizzeria
U1128,Mexican
U1129,Mexican
U1130,Mexican
U1131,Mexican
U1132,Mexican
U1133,Mexican
U1134,Mexican
U1135,Organic
U1135,Steaks
U1135,Middle Eastern
U1135,Mediterranean
U1135,British
U1135,Austrian
U1135,Israeli
U1135,Doughnuts
U1135,Pizzeria
U1135,Seafood
U1135,Fast Food
U1135,Moroccan
U1135,Hot Dogs
U1135,Russian
U1135,Malaysian
U1135,Burgers
U1135,Fusion
U1135,Korean
U1135,Japanese
U1135,Vegetarian
U1135,Turkish
U1135,Peruvian
U1135,Juice
U1135,Tapas
U1135,Eclectic
U1135,African
U1135,Basque
U1135,Canadian
U1135,Afghan
U1135,Diner
U1135,Irish
U1135,Sushi
U1135,Polynesian
U1135,Bagels
U1135,Tex Mex
U1135,Cuban
U1135,Southwestern
U1135,Coffee Shop
U1135,Continental
U1135,Family
U1135,Indian
U1135,Tea House
U1135,International
U1135,Pacific
U1135,Australian
U1135,German
U1135,Regional
U1135,Spanish
U1135,Persian
U1135,Ethiopian
U1135,Romanian
U1135,Cambodian
U1135,Pacific
U1135,Tunisian
U1135,Filipino
U1135,Dim Sum
U1135,Breakfast
U1135,Contemporary
U1135,Greek
U1135,Thai
U1135,Swiss
U1135,Bar
U1135,Soup
U1135,American
U1135,Mongolian
U1135,Cajun
U1135,Armenian
U1135,Indigenous
U1135,Brewery
U1135,Hawaiian
U1135,Cafeteria
U1135,Lebanese
U1135,Chinese
U1135,Portuguese
U1135,Caribbean
U1135,Indonesian
U1135,Hungarian
U1135,Bakery
U1135,Dutch
U1135,Deli
U1135,Kosher
U1135,Fine_Dining
U1135,Jamaican
U1135,Tibetan
U1135,Latin American
U1135,Asian
U1135,Eastern European
U1135,Mexican
U1135,Burmese
U1135,California
U1135,Game
U1135,Italian
U1135,Scandinavian
U1135,Chilean
U1135,Polish
U1135,North African
U1135,Asian
U1135,Vietnamese
U1135,Barbecue
U1135,French
U1135,Brazilian
U1135,Southern
U1135,Ice Cream
U1136,Mexican
U1137,Mexican
U1138,Pizzeria
