roll_number,question_paper_code,question_number,option_marked
10007,501,33,b
10007,501,34,c
10007,501,35,e
10007,501,36,d
10007,501,37,c
10007,501,38,a
10007,501,39,e
10007,501,40,b
10007,501,41,a
10007,501,42,e
10007,501,43,c
10007,501,44,b
10007,501,45,b
10007,501,46,b
10007,501,47,d
10007,501,48,a
10007,501,49,a
10007,501,50,e
10007,501,51,a
10007,501,52,b
10007,501,53,c
10007,501,54,c
10007,501,55,b
10007,501,56,d
10007,501,57,c
10007,501,58,a
10007,501,59,a
10007,501,60,c
10008,501,1,a
10008,501,2,a
10008,501,3,b
10008,501,4,c
10008,501,5,b
10008,501,6,d
10008,501,7,c
10008,501,8,a
10008,501,9,a
10008,501,10,b
10008,501,11,e
10008,501,12,b
10008,501,13,e
10008,501,14,a
10008,501,15,e
10008,501,16,d
10008,501,17,a
10008,501,18,a
10008,501,19,d
10008,501,20,e
10008,501,21,e
10008,501,22,a
10008,501,23,a
10008,501,24,b
10008,501,25,b
10008,501,26,a
10008,501,27,c
10008,501,28,d
10008,501,29,b
10008,501,30,b
10008,501,31,b
10008,501,32,a
10008,501,33,c
10008,501,34,c
10008,501,35,a
10008,501,36,a
10008,501,37,a
10008,501,38,b
10008,501,39,d
10008,501,40,c
10008,501,41,a
10008,501,42,a
10008,501,43,d
10008,501,44,a
10008,501,45,a
10008,501,46,a
10008,501,47,e
10008,501,48,c
10008,501,49,c
10008,501,50,c
10008,501,51,d
10008,501,52,a
10008,501,53,d
10008,501,54,a
10008,501,55,c
10008,501,56,c
10008,501,57,b
10008,501,58,e
10008,501,59,c
10008,501,60,b
10009,501,1,a
10009,501,2,c
10009,501,3,d
10009,501,4,d
10009,501,5,a
10009,501,6,d
10009,501,7,a
10009,501,8,c
10009,501,9,e
10009,501,10,d
10009,501,11,d
10009,501,12,d
10009,501,13,b
10009,501,14,c
10009,501,15,b
10009,501,16,e
10009,501,17,a
10009,501,18,c
10009,501,19,b
10009,501,20,c
10009,501,21,e
10009,501,22,e
10009,501,23,d
10009,501,24,c
10009,501,25,c
10009,501,26,a
10009,501,27,a
10009,501,28,d
10009,501,29,c
10009,501,30,d
10009,501,31,e
10009,501,32,b
10009,501,33,d
10009,501,34,b
10009,501,35,e
10009,501,36,e
10009,501,37,d
10009,501,38,e
10009,501,39,d
10009,501,40,e
10009,501,41,d
10009,501,42,a
10009,501,43,e
10009,501,44,a
10009,501,45,d
10009,501,46,b
10009,501,47,d
10009,501,48,c
10009,501,49,c
10009,501,50,b
10009,501,51,c
10009,501,52,e
10009,501,53,b
10009,501,54,b
10009,501,55,d
10009,501,56,c
10009,501,57,a
10009,501,58,c
10009,501,59,a
10009,501,60,b
10010,501,1,c
10010,501,2,c
10010,501,3,c
10010,501,4,d
10010,501,5,c
10010,501,6,d
10010,501,7,e
10010,501,8,b
10010,501,9,a
10010,501,10,a
10010,501,11,b
10010,501,12,b
10010,501,13,a
10010,501,14,a
10010,501,15,b
10010,501,16,d
10010,501,17,d
10010,501,18,d
10010,501,19,b
10010,501,20,e
10010,501,21,a
10010,501,22,d
10010,501,23,c
10010,501,24,a
10010,501,25,d
10010,501,26,c
10010,501,27,b
10010,501,28,c
10010,501,29,b
10010,501,30,a
10010,501,31,c
10010,501,32,b
10010,501,33,e
10010,501,34,d
10010,501,35,a
10010,501,36,b
10010,501,37,a
10010,501,38,a
10010,501,39,e
10010,501,40,e
10010,501,41,c
10010,501,42,b
10010,501,43,b
10010,501,44,e
10010,501,45,c
10010,501,46,c
10010,501,47,e
10010,501,48,d
10010,501,49,d
10010,501,50,e
10010,501,51,b
10010,501,52,d
10010,501,53,b
10010,501,54,e
10010,501,55,b
10010,501,56,e
10010,501,57,a
10010,501,58,d
10010,501,59,d
10010,501,60,b
10011,501,1,a
10011,501,2,a
10011,501,3,d
10011,501,4,e
10011,501,5,e
10011,501,6,d
10011,501,7,c
10011,501,8,b
10011,501,9,c
10011,501,10,b
10011,501,11,d
10011,501,12,e
10011,501,13,d
10011,501,14,d
10011,501,15,d
10011,501,16,e
10011,501,17,a
10011,501,18,b
10011,501,19,a
10011,501,20,c
10011,501,21,b
10011,501,22,e
10011,501,23,c
10011,501,24,a
10011,501,25,d
10011,501,26,e
10011,501,27,c
10011,501,28,a
10011,501,29,c
10011,501,30,e
10011,501,31,e
10011,501,32,d
10011,501,33,b
10011,501,34,d
10011,501,35,c
10011,501,36,b
10011,501,37,a
10011,501,38,a
10011,501,39,e
10011,501,40,a
10011,501,41,b
10011,501,42,c
10011,501,43,d
10011,501,44,e
10011,501,45,b
10011,501,46,a
10011,501,47,c
10011,501,48,c
10011,501,49,d
10011,501,50,a
10011,501,51,c
10011,501,52,c
10011,501,53,a
10011,501,54,e
10011,501,55,d
10011,501,56,a
10011,501,57,c
10011,501,58,a
10011,501,59,e
10011,501,60,a
10012,501,1,d
10012,501,2,b
10012,501,3,b
10012,501,4,d
10012,501,5,e
10012,501,6,e
10012,501,7,c
10012,501,8,b
10012,501,9,e
10012,501,10,b
10012,501,11,b
10012,501,12,d
10012,501,13,d
10012,501,14,d
10012,501,15,e
10012,501,16,b
10012,501,17,c
10012,501,18,c
10012,501,19,c
10012,501,20,c
10012,501,21,c
10012,501,22,d
10012,501,23,e
10012,501,24,d
10012,501,25,e
10012,501,26,b
10012,501,27,a
10012,501,28,a
10012,501,29,e
10012,501,30,d
10012,501,31,a
10012,501,32,b
10012,501,33,e
10012,501,34,e
10012,501,35,a
10012,501,36,c
10012,501,37,e
10012,501,38,a
10012,501,39,c
10012,501,40,c
10012,501,41,b
10012,501,42,e
10012,501,43,b
10012,501,44,d
10012,501,45,d
10012,501,46,c
10012,501,47,b
10012,501,48,c
10012,501,49,d
10012,501,50,a
10012,501,51,e
10012,501,52,c
10012,501,53,d
10012,501,54,a
10012,501,55,d
10012,501,56,c
10012,501,57,e
10012,501,58,a
10012,501,59,c
10012,501,60,d
10013,501,1,e
10013,501,2,e
10013,501,3,e
10013,501,4,a
10013,501,5,d
10013,501,6,e
10013,501,7,d
10013,501,8,c
10013,501,9,e
10013,501,10,e
10013,501,11,b
10013,501,12,b
10013,501,13,e
10013,501,14,d
10013,501,15,b
10013,501,16,b
10013,501,17,d
10013,501,18,c
10013,501,19,d
10013,501,20,c
10013,501,21,e
10013,501,22,e
10013,501,23,c
10013,501,24,a
10013,501,25,e
10013,501,26,a
10013,501,27,d
10013,501,28,e
10013,501,29,c
10013,501,30,d
10013,501,31,a
10013,501,32,e
10013,501,33,b
10013,501,34,e
10013,501,35,e
10013,501,36,a
10013,501,37,b
10013,501,38,b
10013,501,39,d
10013,501,40,c
10013,501,41,d
10013,501,42,b
10013,501,43,b
10013,501,44,a
10013,501,45,d
10013,501,46,e
10013,501,47,a
10013,501,48,e
10013,501,49,a
10013,501,50,d
10013,501,51,b
10013,501,52,d
10013,501,53,c
10013,501,54,a
10013,501,55,d
10013,501,56,e
10013,501,57,b
10013,501,58,d
10013,501,59,c
10013,501,60,a
10014,501,1,d
10014,501,2,c
10014,501,3,d
10014,501,4,a
10014,501,5,e
10014,501,6,e
10014,501,7,e
10014,501,8,d
10014,501,9,d
10014,501,10,d
10014,501,11,c
10014,501,12,b
10014,501,13,d
10014,501,14,c
10014,501,15,b
10014,501,16,c
10014,501,17,a
10014,501,18,b
10014,501,19,a
10014,501,20,e
10014,501,21,a
10014,501,22,d
10014,501,23,c
10014,501,24,e
10014,501,25,d
10014,501,26,a
10014,501,27,c
10014,501,28,c
10014,501,29,b
10014,501,30,a
10014,501,31,a
10014,501,32,e
10014,501,33,e
10014,501,34,c
10014,501,35,e
10014,501,36,b
10014,501,37,a
10014,501,38,a
10014,501,39,b
10014,501,40,b
10014,501,41,b
10014,501,42,e
10014,501,43,b
10014,501,44,b
10014,501,45,b
10014,501,46,e
10014,501,47,c
10014,501,48,b
10014,501,49,a
10014,501,50,b
10014,501,51,d
10014,501,52,a
10014,501,53,c
10014,501,54,b
10014,501,55,b
10014,501,56,e
10014,501,57,a
10014,501,58,e
10014,501,59,c
10014,501,60,e
10015,501,1,e
10015,501,2,c
10015,501,3,c
10015,501,4,b
10015,501,5,e
10015,501,6,c
10015,501,7,c
10015,501,8,c
10015,501,9,a
10015,501,10,a
10015,501,11,b
10015,501,12,e
10015,501,13,b
10015,501,14,e
10015,501,15,a
10015,501,16,c
10015,501,17,a
10015,501,18,b
10015,501,19,b
10015,501,20,b
10015,501,21,a
10015,501,22,c
10015,501,23,d
10015,501,24,c
10015,501,25,c
10015,501,26,b
10015,501,27,e
10015,501,28,b
10015,501,29,b
10015,501,30,a
10015,501,31,c
10015,501,32,d
10015,501,33,c
10015,501,34,c
10015,501,35,d
10015,501,36,c
10015,501,37,e
10015,501,38,b
10015,501,39,c
10015,501,40,c
10015,501,41,b
10015,501,42,a
10015,501,43,d
10015,501,44,a
10015,501,45,e
10015,501,46,b
10015,501,47,a
10015,501,48,d
10015,501,49,b
10015,501,50,b
10015,501,51,e
10015,501,52,a
10015,501,53,b
10015,501,54,a
10015,501,55,d
10015,501,56,c
10015,501,57,d
10015,501,58,e
10015,501,59,c
10015,501,60,c
10016,501,1,a
10016,501,2,d
10016,501,3,a
10016,501,4,e
10016,501,5,d
10016,501,6,d
10016,501,7,c
10016,501,8,a
10016,501,9,e
10016,501,10,c
10016,501,11,d
10016,501,12,d
10016,501,13,a
10016,501,14,e
10016,501,15,c
10016,501,16,e
10016,501,17,e
10016,501,18,b
10016,501,19,d
10016,501,20,c
10016,501,21,c
10016,501,22,b
10016,501,23,d
10016,501,24,c
10016,501,25,e
10016,501,26,a
10016,501,27,b
10016,501,28,a
10016,501,29,b
10016,501,30,d
10016,501,31,c
10016,501,32,b
10016,501,33,c
10016,501,34,e
10016,501,35,d
10016,501,36,d
10016,501,37,d
10016,501,38,b
10016,501,39,e
10016,501,40,a
10016,501,41,e
10016,501,42,b
10016,501,43,e
10016,501,44,e
10016,501,45,a
10016,501,46,e
10016,501,47,a
10016,501,48,a
10016,501,49,c
10016,501,50,e
10016,501,51,d
10016,501,52,a
10016,501,53,c
10016,501,54,d
10016,501,55,b
10016,501,56,a
10016,501,57,b
10016,501,58,d
10016,501,59,c
10016,501,60,b
10017,501,1,a
10017,501,2,b
10017,501,3,b
10017,501,4,a
10017,501,5,d
10017,501,6,b
10017,501,7,e
10017,501,8,c
10017,501,9,b
10017,501,10,a
10017,501,11,b
10017,501,12,d
10017,501,13,e
10017,501,14,c
10017,501,15,a
10017,501,16,d
10017,501,17,e
10017,501,18,a
10017,501,19,e
10017,501,20,d
10017,501,21,b
10017,501,22,c
10017,501,23,a
10017,501,24,c
10017,501,25,a
10017,501,26,a
10017,501,27,a
10017,501,28,a
10017,501,29,c
10017,501,30,a
10017,501,31,e
10017,501,32,e
10017,501,33,a
10017,501,34,d
10017,501,35,c
10017,501,36,e
10017,501,37,e
10017,501,38,e
10017,501,39,c
10017,501,40,a
10017,501,41,a
10017,501,42,c
10017,501,43,a
10017,501,44,e
10017,501,45,c
10017,501,46,a
10017,501,47,c
10017,501,48,a
10017,501,49,c
10017,501,50,a
10017,501,51,c
10017,501,52,a
10017,501,53,a
10017,501,54,b
10017,501,55,d
10017,501,56,e
10017,501,57,b
10017,501,58,c
10017,501,59,c
10017,501,60,e
10018,501,1,e
10018,501,2,d
10018,501,3,b
10018,501,4,d
10018,501,5,a
10018,501,6,a
10018,501,7,a
10018,501,8,d
10018,501,9,e
10018,501,10,a
10018,501,11,d
10018,501,12,e
10018,501,13,c
10018,501,14,c
10018,501,15,d
10018,501,16,d
10018,501,17,d
10018,501,18,b
10018,501,19,c
10018,501,20,b
10018,501,21,b
10018,501,22,a
10018,501,23,b
10018,501,24,d
10018,501,25,e
10018,501,26,b
10018,501,27,c
10018,501,28,e
10018,501,29,b
10018,501,30,d
10018,501,31,e
10018,501,32,c
10018,501,33,d
10018,501,34,d
10018,501,35,d
10018,501,36,a
10018,501,37,e
10018,501,38,d
10018,501,39,a
10018,501,40,b
10018,501,41,a
10018,501,42,b
10018,501,43,d
10018,501,44,e
10018,501,45,e
10018,501,46,b
10018,501,47,b
10018,501,48,a
10018,501,49,d
10018,501,50,a
10018,501,51,b
10018,501,52,e
10018,501,53,d
10018,501,54,e
10018,501,55,d
10018,501,56,a
10018,501,57,b
10018,501,58,b
10018,501,59,e
10018,501,60,a
10019,501,1,b
10019,501,2,a
10019,501,3,e
10019,501,4,a
10019,501,5,d
10019,501,6,b
10019,501,7,e
10019,501,8,a
10019,501,9,d
10019,501,10,d
10019,501,11,b
10019,501,12,e
10019,501,13,a
10019,501,14,a
10019,501,15,c
10019,501,16,d
10019,501,17,d
10019,501,18,b
10019,501,19,b
10019,501,20,e
10019,501,21,d
10019,501,22,d
10019,501,23,b
10019,501,24,b
10019,501,25,c
10019,501,26,c
10019,501,27,e
10019,501,28,c
10019,501,29,a
10019,501,30,b
10019,501,31,e
10019,501,32,e
10019,501,33,a
10019,501,34,a
10019,501,35,c
10019,501,36,e
10019,501,37,e
10019,501,38,b
10019,501,39,c
10019,501,40,d
10019,501,41,c
10019,501,42,e
10019,501,43,d
10019,501,44,a
10019,501,45,b
10019,501,46,e
10019,501,47,b
10019,501,48,a
10019,501,49,d
10019,501,50,a
10019,501,51,d
10019,501,52,d
10019,501,53,c
10019,501,54,c
10019,501,55,c
10019,501,56,e
10019,501,57,d
10019,501,58,a
10019,501,59,d
10019,501,60,d
10020,501,1,c
10020,501,2,a
10020,501,3,b
10020,501,4,c
10020,501,5,d
10020,501,6,b
10020,501,7,b
10020,501,8,c
10020,501,9,d
10020,501,10,a
10020,501,11,d
10020,501,12,b
10020,501,13,a
10020,501,14,d
10020,501,15,a
10020,501,16,b
10020,501,17,d
10020,501,18,b
10020,501,19,e
10020,501,20,c
10020,501,21,b
10020,501,22,e
10020,501,23,b
10020,501,24,d
10020,501,25,a
10020,501,26,a
10020,501,27,c
10020,501,28,b
10020,501,29,c
10020,501,30,d
10020,501,31,d
10020,501,32,a
10020,501,33,c
10020,501,34,d
10020,501,35,a
10020,501,36,e
10020,501,37,d
10020,501,38,a
10020,501,39,b
10020,501,40,c
10020,501,41,e
10020,501,42,d
10020,501,43,b
10020,501,44,b
10020,501,45,b
10020,501,46,b
10020,501,47,d
10020,501,48,d
10020,501,49,d
10020,501,50,b
10020,501,51,c
10020,501,52,e
10020,501,53,a
10020,501,54,b
10020,501,55,d
10020,501,56,c
10020,501,57,d
10020,501,58,d
10020,501,59,e
10020,501,60,b
10021,501,1,a
10021,501,2,a
10021,501,3,e
10021,501,4,c
10021,501,5,b
10021,501,6,b
10021,501,7,e
10021,501,8,b
10021,501,9,e
10021,501,10,e
10021,501,11,d
10021,501,12,b
10021,501,13,a
10021,501,14,e
10021,501,15,a
10021,501,16,c
10021,501,17,d
10021,501,18,b
10021,501,19,b
10021,501,20,d
10021,501,21,a
10021,501,22,d
10021,501,23,d
10021,501,24,c
10021,501,25,d
10021,501,26,a
10021,501,27,c
10021,501,28,b
10021,501,29,c
10021,501,30,b
10021,501,31,c
10021,501,32,b
10021,501,33,a
10021,501,34,b
10021,501,35,d
10021,501,36,a
10021,501,37,d
10021,501,38,e
10021,501,39,b
10021,501,40,c
10021,501,41,e
10021,501,42,e
10021,501,43,a
10021,501,44,e
10021,501,45,e
10021,501,46,d
10021,501,47,e
10021,501,48,c
10021,501,49,b
10021,501,50,e
10021,501,51,e
10021,501,52,c
10021,501,53,c
10021,501,54,d
10021,501,55,d
10021,501,56,a
10021,501,57,b
10021,501,58,d
10021,501,59,d
10021,501,60,a
10022,501,1,a
10022,501,2,e
10022,501,3,a
10022,501,4,c
10022,501,5,d
10022,501,6,b
10022,501,7,c
10022,501,8,a
10022,501,9,a
10022,501,10,d
10022,501,11,d
10022,501,12,c
10022,501,13,e
10022,501,14,d
10022,501,15,e
10022,501,16,d
10022,501,17,b
10022,501,18,b
10022,501,19,d
10022,501,20,d
10022,501,21,e
10022,501,22,d
10022,501,23,b
10022,501,24,e
10022,501,25,a
10022,501,26,d
10022,501,27,b
10022,501,28,d
10022,501,29,e
10022,501,30,a
10022,501,31,b
10022,501,32,c
10022,501,33,d
10022,501,34,a
10022,501,35,e
10022,501,36,d
10022,501,37,d
10022,501,38,c
10022,501,39,c
10022,501,40,d
10022,501,41,a
10022,501,42,b
10022,501,43,b
10022,501,44,e
10022,501,45,c
10022,501,46,d
10022,501,47,a
10022,501,48,e
10022,501,49,c
10022,501,50,b
10022,501,51,a
10022,501,52,c
10022,501,53,c
10022,501,54,c
10022,501,55,d
10022,501,56,a
10022,501,57,e
10022,501,58,a
10022,501,59,a
10022,501,60,b
10023,501,1,a
10023,501,2,b
10023,501,3,c
10023,501,4,b
10023,501,5,a
10023,501,6,b
10023,501,7,b
10023,501,8,c
10023,501,9,e
10023,501,10,e
10023,501,11,c
10023,501,12,a
10023,501,13,b
10023,501,14,e
10023,501,15,e
10023,501,16,b
10023,501,17,c
10023,501,18,d
10023,501,19,c
10023,501,20,e
10023,501,21,e
10023,501,22,b
10023,501,23,d
10023,501,24,e
10023,501,25,c
10023,501,26,c
10023,501,27,a
10023,501,28,b
10023,501,29,c
10023,501,30,e
10023,501,31,c
10023,501,32,c
10023,501,33,b
10023,501,34,a
10023,501,35,e
10023,501,36,a
10023,501,37,c
10023,501,38,a
10023,501,39,b
10023,501,40,e
10023,501,41,b
10023,501,42,c
10023,501,43,a
10023,501,44,e
10023,501,45,b
10023,501,46,b
10023,501,47,c
10023,501,48,c
10023,501,49,a
10023,501,50,b
10023,501,51,e
10023,501,52,d
10023,501,53,e
10023,501,54,c
10023,501,55,d
10023,501,56,c
10023,501,57,e
10023,501,58,e
10023,501,59,a
10023,501,60,e
10024,501,1,e
10024,501,2,d
10024,501,3,d
10024,501,4,a
10024,501,5,c
10024,501,6,c
10024,501,7,b
10024,501,8,b
10024,501,9,c
10024,501,10,a
10024,501,11,b
10024,501,12,b
10024,501,13,d
10024,501,14,b
10024,501,15,c
10024,501,16,c
10024,501,17,a
10024,501,18,c
10024,501,19,d
10024,501,20,c
10024,501,21,d
10024,501,22,c
10024,501,23,c
10024,501,24,b
10024,501,25,e
10024,501,26,b
10024,501,27,d
10024,501,28,a
10024,501,29,b
10024,501,30,e
10024,501,31,a
10024,501,32,e
10024,501,33,c
10024,501,34,d
10024,501,35,a
10024,501,36,b
10024,501,37,a
10024,501,38,d
10024,501,39,e
10024,501,40,b
10024,501,41,d
10024,501,42,b
10024,501,43,a
10024,501,44,b
10024,501,45,a
10024,501,46,a
10024,501,47,e
10024,501,48,a
10024,501,49,b
10024,501,50,c
10024,501,51,a
10024,501,52,d
10024,501,53,d
10024,501,54,b
10024,501,55,c
10024,501,56,b
10024,501,57,e
10024,501,58,c
10024,501,59,a
10024,501,60,e
10025,501,1,c
10025,501,2,c
10025,501,3,b
10025,501,4,a
10025,501,5,b
10025,501,6,c
10025,501,7,b
10025,501,8,c
10025,501,9,e
10025,501,10,a
10025,501,11,d
10025,501,12,e
10025,501,13,c
10025,501,14,d
10025,501,15,a
10025,501,16,c
10025,501,17,d
10025,501,18,b
10025,501,19,c
10025,501,20,d
10025,501,21,e
10025,501,22,d
10025,501,23,b
10025,501,24,a
10025,501,25,e
10025,501,26,c
10025,501,27,a
10025,501,28,e
10025,501,29,d
10025,501,30,d
10025,501,31,e
10025,501,32,a
10025,501,33,e
10025,501,34,b
10025,501,35,e
10025,501,36,c
10025,501,37,d
10025,501,38,c
10025,501,39,a
10025,501,40,d
10025,501,41,c
10025,501,42,a
10025,501,43,c
10025,501,44,b
10025,501,45,b
10025,501,46,e
10025,501,47,d
10025,501,48,b
10025,501,49,a
10025,501,50,e
10025,501,51,d
10025,501,52,a
10025,501,53,c
10025,501,54,b
10025,501,55,b
10025,501,56,b
10025,501,57,d
10025,501,58,b
10025,501,59,b
10025,501,60,c
10026,501,1,a
10026,501,2,d
10026,501,3,e
10026,501,4,c
10026,501,5,d
10026,501,6,e
10026,501,7,a
10026,501,8,b
10026,501,9,d
10026,501,10,b
10026,501,11,c
10026,501,12,b
10026,501,13,b
10026,501,14,c
10026,501,15,c
10026,501,16,e
10026,501,17,e
10026,501,18,d
10026,501,19,a
10026,501,20,b
10026,501,21,b
10026,501,22,b
10026,501,23,a
10026,501,24,c
10026,501,25,b
10026,501,26,a
10026,501,27,b
10026,501,28,c
10026,501,29,c
10026,501,30,a
10026,501,31,a
10026,501,32,e
10026,501,33,d
10026,501,34,b
10026,501,35,a
10026,501,36,e
10026,501,37,d
10026,501,38,c
10026,501,39,d
10026,501,40,c
10026,501,41,e
10026,501,42,b
10026,501,43,c
10026,501,44,a
10026,501,45,a
10026,501,46,c
10026,501,47,b
10026,501,48,b
10026,501,49,c
10026,501,50,c
